Age,Author,Author_Info,Binding,Brand,Dimensions (L X B X H),Edition,Editor,Exam,Group,Image,Imprint,ISBN_10,ISBN_13,Language,Model,Name,Pages,Price,Product_Code_1,Product_Code_2,Publication_Month,Publication_Year,Publisher,Series_Name,Type,Unique_Id,University,Weight_Gram
,,,Hardcover,Harper Collins Publishers India,,,,,Non Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9780007427925_225808/0x1920/70/0.jpg,William Collins,,9780007427925,English,5789,Knowledge Is Beautiful,,1539,9780007427925_225808,44856875,,2014,Harper Collins Publishers India,,Bestseller Books,be1dd225af850a3c1ca7900403adf83b,,500
,['Donna Kooler'],,Paperback,Leisure Arts,,1,,,Non Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9781574862836_44120/0x1920/70/0.jpg,,1574862839,9781574862836,English,9794,Rockwood And Green's Fractures In Adults,240,2311,9781574862836_44120,13657178,,2004,Leisure Arts,,Bestseller Books,c34711225c77812e42ee201cde53db40,,500
,['Rath Tom'],,Hardcover,Gallup,,,,,Non Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9781595620071_44120/0x1920/70/0.jpg,,1595620079,9781595620071,English,129449,Vital Friends,218,1440,9781595620071_44120,13598559,,2006,Gallup,,Bestseller Books,7e6c9398bab4dbe22de763ddbed354a6,,500
,['Yittta Halberstam'],,Paperback,Adams Media Publications Company,,1,,,Non Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9781580623704_60658/0x1920/70/0.jpg,,1580623700,9781580623704,English,9900,Nbsm :Small Miracles For Women,244,395,9781580623704_60658,12087083,,2003,Vsp International Science Publishers,,Bestseller Books,c26dde10efa51d9f8146fe3557b3e698,,500
,,,Paperback,Harper Collins Publishers India,,,,,Others,https://assetscdn.paytm.com/images/catalog/product/9/97/9780007477159_225808/0x1920/70/3.jpg,Voyager,7477155,9780007477159,English,5789,A Game Of Thrones: The Story Continues: The Complete Box Set Of 7 Books : The Story Continues (Set Of 7 Books),5232,3799,9780007477159_225808,44857009,,2012,Harper Collins Publishers India,,Bestseller Books,3e50110f352fd2e7a5a6cb538b243680,,500
,"['Liz Tuccillo', 'Greg Behrendt']",,Paperback,HarperCollins Publisher,,1,,,Others,https://assetscdn.paytm.com/images/catalog/product/9/97/9780007321445_43676/0x1920/70/0.jpg,,7321449,9780007321445,English,5213,He's Just Not that Into You,256,97,9780007321445_43676,22575460,,2009,HarperCollins Publisher,,Bestseller Books,be7596708d693b824453d419cf16340e,,500
,['William Dalrymple'],,Paperback,Surendra Publications,,,,,Others,https://assetscdn.paytm.com/images/catalog/product/9/97/9781408862872_20038/0x1920/70/0.jpeg,Bloomsbury Paperbacks,1408862875,9781408862872,English,3906,Return Of A King: The Battle For Afghanistan : An Indian Army In Afghanistan,608,499,9781408862872_20038,5078279,,2014,BLOOMSBURY PUBLISHING,,Bestseller Books,b27e3b7feda200935170141fb1961240,,10000
,"[""Louis L'Amour""]",,Paperback,Bantam,,,,,Others,https://assetscdn.paytm.com/images/catalog/product/9/97/9780553392265_21345/0x1920/70/0.jpg,,553392263,9780553392265,English,4124,The Collected Short Stories Of Louis Lamour Volume 1,544,350,9780553392265_21345,51084724,,2014,Bantam,,Bestseller Books,9129b6cd78e70f409b2561b993afcf20,,500
,['Alex Comfort'],,Hardcover,Mitchell Beazley,,1,,,Others,https://assetscdn.paytm.com/images/catalog/product/9/97/9781840005561_158754/0x1920/70/0.jpg,,1840005564,9781840005561,English,8284,The Joy Of Sex,240,795,9781840005561_158754,32206611,,2015,Pan Macmillan UK,,Bestseller Books,be16ac891f4c310dd4dd4df86d597079,,500
,['Mary Balogh'],,Paperback,Random House Publishing Group,,,,,Others,https://assetscdn.paytm.com/images/catalog/product/9/97/9780440242970_21345/0x1920/70/0.jpg,,440242975,9780440242970,English,8095,The Secret Pearl,432,399,9780440242970_21345,51087673,,2005,Random House Publishing Group,,Bestseller Books,1d33e3b5dc4e5a617c9d155b6e4e026c,,500
,['Donald J Trump Robert T Kiyosaki'],,Paperback,To Excelkaleidoscope Sof,,1,,,Regional Books,https://assetscdn.paytm.com/images/catalog/product/9/97/9788183225144_271_20447/0x1920/70/12.jpg,,8183225144,9788183225144,Hindi,100050,Kaise Payen Vyapar Mein Jadui Safalta,246,275,9788183225144_271_20447,5819601,,2011,MANJUL PUBLISHING HOUSE,,Bestseller Books,8b7eed5b4563c1440328954c14c34979,,500
,,,Paperback,Westland,,,,,Regional Books,https://assetscdn.paytm.com/images/catalog/product/9/97/9789384030070_27830/0x1920/70/3.jpg,,9383606371,9789384030070,Marathi,4258,The Krishna Key (Marathi),434,250,9789384030070_27830,21153880,,2014,Westland,,Bestseller Books,432fd18ae36dd3b600be34127a47feb4,,500
,['Thorpe'],,Paperback,Pearson Education,,,,,Regional Books,https://assetscdn.paytm.com/images/catalog/product/9/97/9789332511484_30212/0x1920/70/0.jpg,,9332511489,9789332511484,Others,6471,Pearson Sankshipt Samanya Gyaan Kosh 2014,,250,9789332511484_30212,10962455,,2013,Pearson Education,,Bestseller Books,3816c809ccdd02c8cae3acef8135b306,,500
,['Allan Pease'],,Paperback,,,,,,Regional Books,https://assetscdn.paytm.com/images/catalog/product/9/97/9788186775615_20447/0x1920/70/0.jpg,,8186775617,9788186775615,Tamil,439730,Questions Are The Answers,,95,9788186775615_20447,1991060,,,MANJUL PUBLISHING HOUSE,,Bestseller Books,2eed2bb070f2b99f25823b275a5f45aa,,500
,['John Gray'],,Paperback,Manjul Publishing House,,1,,,Regional Books,https://assetscdn.paytm.com/images/catalog/product/9/97/9788183224987_20447/0x1920/70/0.jpg,,8183224989,9788183224987,Telugu,4575,Men Are From Mars Women Are From Venus,312,225,9788183224987_20447,21154517,,2014,Manjul Publishing House,,Bestseller Books,65eeeee92bcbda4db15bd0dbc86631e5,,500
,['Devdutt Pattanaik'],,Paperback,Books,,,,,Religion,https://assetscdn.paytm.com/images/catalog/product/9/97/9789384030582_97246/0x1920/70/3.jpg,,9384030589,9789384030582,English,12961,7 SECRETS OF THE GODDESS,270,395,9789384030582_97246,23087636,,2014,Books,,Bestseller Books,4c3c6573042b88c1d3a39b6644d7a888,,500
9 - 12 Years,['Enid Blyton'],,Paperback,Vintage,,,,,Religion,https://assetscdn.paytm.com/images/catalog/product/9/97/9781444908657_27296/0x1920/70/0.jpg,,1444908650,9781444908657,English,3393,Famous Five: 1: Five On A Treasure Island,192,350,9781444908657_27296,6259868,,2012,Vintage,,Bestseller Books,6ca7f16287c5f7572f767972059c3bf8,,160
,['Allen'],,Hardcover,John Wiley (original),,2,,,Religion,https://assetscdn.paytm.com/images/catalog/product/9/97/9780470155745_44120/0x1920/70/0.jpg,,470155744,9780470155745,English,4316,Event Planning 2/ed (e) 2 2nd Edition,417,2812,9780470155745_44120,10041345,,2009,CRC Press,,Bestseller Books,59be80c21b15b9bba2a526862ed08d97,,862
,['Pavan K. Varma'],,Paperback,HARPER COLLINS INDIA,,,,,Self Help,https://assetscdn.paytm.com/images/catalog/product/9/97/9780143418238_32027/0x1920/70/0.jpg,Penguin,143418238,9780143418238,English,6173,Becoming Indian: The Unfinished Revolution of Culture And Identity,,399,9780143418238_32027,6237321,,2012,HARPER COLLINS INDIA,,Bestseller Books,b3aa6dbdb7f897d3162c06c9829ec84e,,
,['Guy Kawasaki'],,Paperback,Portfolio,,1,,,Self Help,https://assetscdn.paytm.com/images/catalog/product/9/97/9781591843948_44120/0x1920/70/0.jpg,Portfolio,1591843944,9781591843948,English,6144,Reality Check: The Irreverent Guide To Outsmarting- Outmanaging And Outmarking Your Competition,474,925,9781591843948_44120,13630598,,2012,Portfolio,,Bestseller Books,b1d2bc27fba12e4a20ac24dd91b2fb05,,408
,['Barbara Pease'],,Hardcover,RC,,,,,Self Help,https://assetscdn.paytm.com/images/catalog/product/9/97/9780553804720_44120/0x1920/70/0.jpg,Bantam,553804723,97812,English,6346,The Definitive Book Of Body Language (Infringing Title),,1698,9780553804720_44120,13630368,,2006,RC,,Bestseller Books,c221887d6ff8c2a801ea6cd002e90c81,,500
,['Robin Sharma'],,Paperback,Jaico Publishing House,,1,,,Self Help,https://assetscdn.paytm.com/images/catalog/product/9/97/9788184954081_79916/0x1920/70/0.jpg,,8184954085,9788184954081,English,4078,The Mastery Manual,200,199,9788184954081_79916,51172335,,2015,Jaico Publishing House,,Bestseller Books,e7fae640ced12d4522c33ee0f43495e1,,500
,['Nora Roberts'],,Paperback,PIATKUS BOOKS LTD,,,,,Business & Management,https://assetscdn.paytm.com/images/catalog/product/9/97/9780749952570_23843/0x1920/70/0.jpg,Piatkus,749952571,9780749952570,English,12482,Sea Swept,368,360,9780749952570_23843,8391730,,2010,PARRAGON PUBLISHING,Chesapeake Bay,Bestseller Books,8d1665d1af14d82170e481c67a9e0de2,,300
,['Kevin Freiberg'],,Paperback,RHUS (RS),,,,,Business & Management,https://assetscdn.paytm.com/images/catalog/product/9/97/9780767915007_44120/0x1920/70/0.jpg,Crown Business,767915003,9780767915007,English,8684,Guts!,,807,9780767915007_44120,10042842,,2005,CRC Press,,Bestseller Books,b8055c6e81214b74562f06fcacd81d96,,500
,['Donald J Trump'],,Others,RHUS (RS),,,,,Business & Management,https://assetscdn.paytm.com/images/catalog/product/9/97/9780345479174_44120/0x1920/70/0.jpg,Ballantine Books,345479173,9780345479174,English,8684,Trump: The Art Of The Deal,,569,9780345479174_44120,10041027,,2004,CRC Press,,Bestseller Books,a4ca2aff200e4a362e7469f594d28bc7,,500
,['Robert Muchamore'],,Paperback,,,,,,,https://assetscdn.paytm.com/images/catalog/product/9/97/9780340999745_20567/0x1920/70/3.jpg,Hodder Children'S Books,340999748,9780340999745,English,439730,Shadow Wave,368,350,9780340999745_20567,2196985,,2011,Hachette Children's Books,,Bestseller Books,bdc54d4c59d590cb4d9ed5d6e3dfd877,,25
,,,Paperback,Hodder & Stoughton,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780340822807_20822/0x1920/70/0.jpg,,340822805,9780340822807,English,4984,Black Swan Green,384,599,9780340822807_20822,7354973,,2007,Alchemy Publishers,,Bestseller Books,b8ede1cc572cf8c21f8452cda3fc9cf0,,260
,['Rachel Renee Russell'],,Paperback,Simon & Schuster,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9781471122781_21057/0x1920/70/0.jpg,,1471122786,9781471122781,English,4226,Dork Diaries: Once Upon A Dork,368,299,9781471122781_21057,4941079,,2014,Simon & Schuster,,Bestseller Books,3285be93c92b7bab327d383dc3b0513c,,270
,['Tsutomu Nihei'],,Paperback,Vertical,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9781932234916_44120/0x1920/70/6.jpg,Vertical,1932234918,9781932234916,English,19855,"Knights Of Sidonia, Volume 6",,692,9781932234916_44120,13586617,,2013,Vertical,,Bestseller Books,995389af843acf85b94f78f101f4c418,,500
