Age,Author,Author_Info,Binding,Brand,Dimensions (L X B X H),Edition,Editor,Exam,Group,Image,Imprint,ISBN_10,ISBN_13,Language,Model,Name,Pages,Price,Product_Code_1,Product_Code_2,Publication_Month,Publication_Year,Publisher,Series_Name,Type,Unique_Id,University,Weight_Gram
,['Amit M Agarwal'],"An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proofreaders and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content & updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years.",Paperback,Arihant Publications,,1,,JEE Main And Advanced,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9789352031481_20439/0x1920/70/0.jpg,,9352031482,9789352031481,English,4671,Daily Practice Problems for Theory of Equations Complex Number,240,210,9789352031481_20439,7473745,,2015,Wiley India Pvt. Ltd.,,Bestseller Books,a71b77ad410561fbed9f31b5313cbde6,,500
9 - 12 Years,['Jacqueline Wilson'],,Paperback,,,,,,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9780552553520_21345/0x1920/70/0.jpg,Corgi Childrens,552553522,9780552553520,English,439730,Love Lessons,272,325,9780552553520_21345,51083750,,2006,Corgi Childrens,,Bestseller Books,5ff366dfa3f6a2b397975acf37367d6b,,200
,['Paul Tough'],,Paperback,Random House,,,,,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9780099588757_23843/0x1920/70/0.jpg,Arrow,99588757,9780099588757,English,4244,How Children Succeed,256,399,9780099588757_23843,8381600,April,2014,PARRAGON PUBLISHING,,Bestseller Books,e764d688d36c26fba65d90cd0bfcd513,,272
,['Amit M Agarwal'],"An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proofreaders and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content & updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years.",Paperback,Arihant,,1,,JEE Main And Advanced,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9789352031733_23843/0x1920/70/0.jpg,,9352031733,9789352031733,English,4665,Daily Practice Problems for Permutations - Combinations And Probability (Mathematics Volume-2),216,210,9789352031733_23843,26421238,,2015,Wiley India Pvt. Ltd.,,Bestseller Books,718e800b861b13b3d272803d5177451d,,500
,['D.B. Singh'],"An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proofreaders and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content & updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years.",Paperback,Arihant Publications,,1,,JEE Main And Advanced,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9789352031726_20439/0x1920/70/0.jpg,,9352031725,9789352031726,English,4671,Daily Practice Problems for Laws of Motion Work Power,348,250,9789352031726_20439,7473743,,2015,Wiley India Pvt. Ltd.,,Bestseller Books,c8ade9ab62a014c179cf1361cdae7a91,,500
,['Ranjeet Shahi'],"An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proofreaders and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content & updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years.",Paperback,Arihant,,1,,JEE Main And Advanced,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9789352031740_23843/0x1920/70/0.jpg,,9352031741,9789352031740,English,4665,Daily Practice Problems for General Organic Chemistry And Hydrocarbons (Chemistry Volume-4),316,250,9789352031740_23843,26421237,,2015,Wiley India Pvt. Ltd.,,Bestseller Books,7dc1b3b9c4947d8d80cbd9cf5c553849,,500
,['R.K. Gupta'],"An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proofreaders and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content & updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years.",Paperback,Arihant Publications,,1,,JEE Main And Advanced,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9789352031474_20439/0x1920/70/0.jpg,,9352031474,9789352031474,English,4671,Daily Practice Problems for Atomic Structure,228,210,9789352031474_20439,7473740,,2015,Wiley India Pvt. Ltd.,,Bestseller Books,9cfb013a5746b567d4cce561df53283c,,500
,['Peterson Gretchen N'],,Hardcover,CRC Press,,,,,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9781482220674_69888/0x1920/70/0.jpg,,1482220679,9781482220674,English,3879,Gis Cartography: A Guide To Effective Map Design,317,6751,9781482220674_69888,16327626,,,CRC Press,,Bestseller Books,62068c386789713bdad84620637debcb,,500
,['Andrei D. Polyanin'],,Hardcover,CRC-CH,,1,,,Academic & Professional,https://assetscdn.paytm.com/images/catalog/product/9/97/9781584882992_191287/0x1920/70/0.jpg,,1584882999,9781584882992,Others,12985,Handbook of Linear Partial Differential Equations for Engineers and Scientists,800,2995,9781584882992_191287,38822917,,2001,CRC-CH,,Bestseller Books,fce2da930afdb6f8bb0530e62ccff2c6,,1610
,['Barbara De Angelis'],,Paperback,Harper Collins Publishers India,,2,,,Biographies & Auto Biographies,https://assetscdn.paytm.com/images/catalog/product/9/97/9780722532980_225808/0x1920/70/0.jpg,Element,722532989,9780722532980,English,5789,Are You The One For Me?,368,399,9780722532980_225808,44858319,,2013,Harper Collins Publishers India,,Bestseller Books,9a5a2e2b018d5b77b3bb5163772d00c7,,264
,['Leon Uris'],,Paperback,Corgi,,,,,Biographies & Auto Biographies,https://assetscdn.paytm.com/images/catalog/product/9/97/9780552105651_20822/0x1920/70/0.jpg,Corgi,552105651,9780552105651,English,7943,Trinity,896,650,9780552105651_20822,12741075,,1990,Corgi,,Bestseller Books,27c5f4a4afc7d8f93526f6d47410cc32,,381
,['Anuja Chauhan'],,Others,Surendra Publications,,,,,Biographies & Auto Biographies,https://assetscdn.paytm.com/images/catalog/product/9/97/9789350294208_27830/0x1920/70/0.jpg,,9350294206,9789350294208,English,3906,Anuja Chauhan Box Set,1332,899,9789350294208_27830,5104844,August,2013,Surendra Publications,,Bestseller Books,fddc31793d4522989e5ff19a825d62df,,1000
,['Atul Gawande'],,Hardcover,Penguin Books,,,,,Biographies & Auto Biographies,https://assetscdn.paytm.com/images/catalog/product/9/97/9780670086061_23843/0x1920/70/0.jpeg,,670086061,9780670086061,English,5884,Being Mortal: Medicine And What Matters In The End,296,599,9780670086061_23843,9497377,,2014,Mosby,,Bestseller Books,0d7be73ed8bf79300ad9777e6a1336b2,,500
,['Vince Flynn'],,Paperback,SIMON,,,,,Biographies & Auto Biographies,https://assetscdn.paytm.com/images/catalog/product/9/97/9781849837675_23843/0x1920/70/0.jpg,,1849837678,9781849837675,English,6282,TERM LIMITS,656,350,9781849837675_23843,8409697,,2012,Edinburgh University Press,,Bestseller Books,6d84669e2bd0af36172e3fd5d801f8dc,,500
,['George R. R. Martin'],,Paperback,Harper Collins Publishers India,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780007483846_225808/0x1920/70/0.jpg,VOYAGER,7483848,9780007483846,English,5789,A STORM OF SWORDS 1: STEEL AND SNOW,672,550,9780007483846_225808,48376422,,2013,HARPER COLLINS INDIA,A Song of Ice and Fire,Bestseller Books,51c1ccad0244910e0a2693a43fb94b4c,,460
9-12 Years,['Jacqueline Wilson'],,Paperback,,,1,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780552556118_193994/0x1920/70/0.jpg,Corgi Childrens,552556114,9780552556118,English,439730,Dustbin Baby,160,399,9780552556118_193994,46781577,,2013,Corgi Childrens,,Bestseller Books,3b4cf486b0e6103b0efabeda12bda6e5,,115
12 - 14 years,['Richelle Mead'],,Paperback,Penguin,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780141331874_191287/0x1920/70/0.jpg,,141331879,9780141331874,English,4116,Spirit Bound,496,399,9780141331874_191287,38675783,,2010,Penguin,,Bestseller Books,33a467f7834ca4004730c8effa7439d2,,340
18 + Years,['Jodi Picoult'],,Paperback,HarperCollins Publisher,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780061374968_44120/0x1920/70/0.jpg,Avon,61374962,9780061374968,English,5213,Keeping Faith,512,462,9780061374968_44120,13641948,August,2008,HarperCollins Publisher,,Bestseller Books,90116138d956d50d131415531d8167fc,,249
,['Danielle Steel'],,Paperback,,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780552154734_193994/0x1920/70/0.jpg,Corgi,552154733,9780552154734,English,439730,AMAZING GRACE MM,544,499,9780552154734_193994,46784486,,2008,Random House India,,Bestseller Books,a485acdc2b1bc78d2068885e58d45972,,262
,['Mario Puzo'],,Paperback,Random House,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780099557579_23843/0x1920/70/0.jpg,Arrow,99557576,9780099557579,English,4244,Fools Die,480,399,9780099557579_23843,8380129,September,2012,PARRAGON PUBLISHING,,Bestseller Books,b907e0028aa17fb34e7ba1a01b993240,,344
,['Danielle Steel'],,Paperback,,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780552158428_21345/0x1920/70/0.jpg,Corgi,552158429,9780552158428,English,439730,Good Woman- A,416,399,9780552158428_21345,51085956,,2009,Corgi Books,,Bestseller Books,835027033a50b94241ce04671a42f9fe,,217
,['J K Rowling'],,Paperback,BLOOMSBURY,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9781408855652_20040/0x1920/70/6.jpg,,,9781408855652,English,6281,Harry Potter And The Philosopher's Stone,,399,9781408855652_20040,6849002,,2014,BLOOMSBURY,,Bestseller Books,34ebdcc38f04dbdbf523dfe374dad85c,,
,['Brian L. Weiss'],,Paperback,SIMON AND SCHUSTER INDIA,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780743264341_44120/0x1920/70/0.jpg,,743264347,9780743264341,English,5881,Same Soul Many Bodies: Discover the Healing Power of Future Lives Through Progression Therapy by brian l. weiss-English-SIMON AND SCHUSTER INDIA-Paperback_Edition-Reprint,226,750,9780743264341_44120,10040549,,2005,CRC Press,,Bestseller Books,fab255ccc6c69fa3c814b0311ce04474,,227
9 - 12 Years,,,Paperback,,,,Ruskin Bond,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9788129111968_20038/0x1920/70/3.jpg,,8129111969,9788129111968,English,439730,Shudders in the Dark,120,140,9788129111968_20038,1029894,,2007,Rupa Publication,,Bestseller Books,df451312bb1404c1fcb8dcf8ffb339b4,,500
,['Judith Mcnaught'],,Others,SIMON & SCHUSTER UK,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780671737634_23843/0x1920/70/0.jpg,,671737635,9780671737634,English,4755,SOMETHING WONDERFUL,418,325,9780671737634_23843,8391666,,1991,PARRAGON PUBLISHING,,Bestseller Books,e1f75fe25b961a8db84851f78d89cdb2,,204
,['Mack David'],,Paperback,Simon & Schuster,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9781451650747_44120/0x1920/70/0.jpeg,,9781451650747,9781451650747,English,4226,Star Trek:Next Generation:Cold Equations,336,420,9781451650747_44120,13715937,,2012,Simon & Schuster,,Bestseller Books,f2bdb6cc89848d73e7d5ed5348e57796,,500
,['George Lll David R.'],,Paperback,Simon & Schuster,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9781476700229_44120/0x1920/70/0.jpeg,,9781476700229,9781476700229,English,4226,Star Trek:The Original Series:Allegian,375,420,9781476700229_44120,13716364,,2013,Simon & Schuster,,Bestseller Books,02fee38c8d867d642e45f9e5645e7ce1,,500
,['Barrington Barber'],,Hardcover,,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9781848589780_20442/0x1920/70/3.jpg,,1848589786,9781848589780,English,439730,Fundamental of Drawing with DVD,208,895,9781848589780_20442,1989159,,2013,Arcturus Publishing Ltd-,,Bestseller Books,5f49d5787752fd5465670da164e20ac1,,227
,['Deborah Rodriguez'],,Paperback,Little Brown Book Group,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780751555769_97246/0x1920/70/0.jpg,Sphere,751555762,9780751555769,English,6223,The Kabul Beauty School,352,499,9780751555769_97246,23085745,,2013,Little Brown Book Group,,Bestseller Books,971505ec48592a23b82dcf5d0d2ad18e,,290
5-9 Years,['Asha Nehemiah'],,Paperback,Scholastic Books,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9788184776904_23843/0x1920/70/0.jpg,,818477690,9788184776904,English,3545,The Mystery of the Silk Umbrella,156,150,9788184776904_23843,8420910,,2011,Edinburgh University Press,,Bestseller Books,ad1e3e58fd4f293454688b32b38b46aa,,500
,['Nora Roberts'],,Paperback,PENGUIN USA,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780425246047_44120/0x1920/70/0.jpg,Berkley,425246043,9780425246047,English,6220,The Perfect Hope: Book Three Of The Inn Boonsboro Trilogy,336,833,9780425246047_44120,13585283,,2012,PENGUIN USA,,Bestseller Books,c50635921b576b188a6559a3886eee74,,500
,['Julie Garwood'],,Others,Simon & Schuster Uk,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780671702519_23843/0x1920/70/0.jpg,,671702513,9780671702519,English,4755,The Prize,432,325,9780671702519_23843,8391662,,1999,PARRAGON PUBLISHING,,Bestseller Books,c7ace29ce6a0769f4c9ab82d268eae1d,,204
3 - 6 Years,['Adamson Jean'],,Paperback,,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9781409300830_20567/0x1920/70/3.jpg,Ladybird,1409300838,9781409300830,English,439730,Topsy & Tim : Start School,32,199,9781409300830_20567,2197662,,2009,PENGUIN UK,Topsy & Tim,Bestseller Books,4b4b20ce639d38bd69bc644156628589,,108
,['ANGINE SAGE'],,Hardcover,BLOOMSBURY PUBLISHING PLc-,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9781408806265_113524/0x1920/70/0.jpg,,1408806266,9781408806265,English,12116,Fyre: Septimus Heap,528,499,9781408806265_113524,25572804,,2013,BLOOMSBURY PUBLISHING PLc-,,Bestseller Books,78ad90fe602f31611987dbea4d7f9c23,,510
,['Mary Pope Osborne'],,Others,RANDOM HOUSE USA,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780375813658_44120/0x1920/70/0.jpg,Random House Books For Young Readers,375813659,9780375813658,Others,6561,Magic Tree House Volumes 1-4 Boxed Set,,1180,9780375813658_44120,10041099,,2001,CRC Press,,Bestseller Books,5beaa07293e5d9ce336ac7bef66868ed,,500
9-12 Years,['Margaret Peterson Haddix'],,Hardcover,SCHOLASTIC (RS),,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780545060509_97246/0x1920/70/0.jpg,,545060508,9780545060509,English,3507,The 39 Clues #10 Into The Gauntlet,327,525,9780545060509_97246,23078122,,2010,SCHOLASTIC (RS),THE 39 CLUES,Bestseller Books,ae220702556c7467e64822772c821852,,431
,['Tim Harford'],,Paperback,Little- Brown Book Group,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780349121512_56252/0x1920/70/0.jpg,Abacus,349121516,9780349121512,English,11903,Adapt,320,395,9780349121512_56252,20163686,,2012,Little- Brown Book Group,,Bestseller Books,b6ac8ce8009d0f619804d003bd39eb55,,250
,['Ranjit Lal'],,Paperback,,,1,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9788129109255_20038/0x1920/70/3.jpg,,8129109255,9788129109255,English,439730,Big Neem Red Jaguar and Mrs Samson's Lammer Geier,463,95,9788129109255_20038,1029789,,2006,Rupa Publication,,Bestseller Books,cafd201580739ba02e5f056823d6e7dc,,500
,['Clive Cussler Graham Brown'],,Others,Prakash,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780718178772_21057/0x1920/70/0.jpg,Michael Joseph,,9780718178772,Others,33154,Ghost Ship: Numa Files #12,448,599,9780718178772_21057,4436592,,2014,Prakash,,Bestseller Books,ee064e6e7554ac850a743eeab992c9a9,,500
,,,Paperback,Penguin India,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780141339030_23843/0x1920/70/0.jpg,,141339039,9780141339030,English,4869,Gladiator: Vengeance Book 4,304,350,9780141339030_23843,8378928,,2014,PARRAGON PUBLISHING,,Bestseller Books,ee3b441b035eab347b784a0e3e3f9eaa,,500
,"['Lin Henry', 'Winkler Oliver']",,Paperback,HARPER COLLINS INDIA,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9781406340280_27296/0x1920/70/0.jpg,,1406340286,9781406340280,English,6173,Hank Zipzer 3 : Mutant Moth,176,250,9781406340280_27296,6258944,,2012,HARPER COLLINS INDIA,,Bestseller Books,1f5a1a4352d4bae86724b79f7cbb75e5,,
,['J. K. Rowling'],,Hardcover,Bloomsbury,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780747591054_50156/0x1920/70/0.jpg,,747591059,9780747591054,English,6281,Harry Potter and the Deathly Hallows,198,1699,9780747591054_50156,9895326,,2007,AVON BOOKS,,Bestseller Books,ac30d5c64c1b808140ad3bbf8c103ee9,,500
,['J. K. Rowling'],,Paperback,BLOOMSBURY,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9781408810293_58054/0x1920/70/0.jpg,,1408810298,9781408810293,English,6281,Harry Potter and the Deathly Hallows,608,599,9781408810293_58054,13882170,,2010,BLOOMSBURY,,Bestseller Books,222cb350f511778e5118a7f2b3b75e97,,500
,['Shepard'],,Paperback,Harper Collins Publishers India,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780062199720_225808/0x1920/70/0.jpg,HarperTeen,62199722,9780062199720,English,5789,Pretty Little Liainr #13: Crushed,340,399,9780062199720_225808,44857875,,2014,Harper Collins Publishers India,,Bestseller Books,82273e5d026ce2fcf183778fff027f2b,,500
,['Brad Meltzer'],,Paperback,,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780340825037_20567/0x1920/70/3.jpg,Hodder Paperbacks,340825030,9780340825037,English,439730,The Zero Game,480,295,9780340825037_20567,2196826,,2004,Hodder & Stoughton,,Bestseller Books,c9f4dcc8d38d270602d584306c5d9467,,270
,['Tony Buzan'],,Others,HarperCollins Publisher,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780007454297_27296/0x1920/70/0.jpg,,7454295,9780007454297,Others,5213,The Power of Physical Intelligence,272,199,9780007454297_27296,11982328,,2011,HarperCollins Publisher,,Bestseller Books,8925cac9f211a5c36b8a7d20f35940a3,,500
,['David Williams'],,Paperback,Harper Collins Publishers India,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780008114947_225808/0x1920/70/0.jpg,HarperCollins Children's Books,8114943,9780008114947,English,5789,Awful Auntie,416,399,9780008114947_225808,44857421,,2014,Harper Collins Publishers India,,Bestseller Books,88504d352c6d59937247ab37d78f08ff,,500
,['Robin Cook'],,Paperback,Pan Macmillan,,,,,Children & Teens,https://assetscdn.paytm.com/images/catalog/product/9/97/9780330321471_23843/0x1920/70/0.jpg,,330321471,9780330321471,Others,4117,VITAL SIGNS,9999,350,9780330321471_23843,9893971,,1992,AVON BOOKS,,Bestseller Books,36f3c869bce74a0a38844d4f3c709ede,,200
,"['P C Cast', 'Kristin Cast']",,Paperback,Little- Brown Book Group,,,,,Hobbies,https://assetscdn.paytm.com/images/catalog/product/9/97/9781907411199_23843/0x1920/70/0.jpg,Atom,1907411194,9781907411199,English,11903,Lenobia's Vow,160,399,9781907411199_23843,10128089,,2012,CRC Press,House of Night Novella,Bestseller Books,e01de12e6142e4c7b92c8d9d1362d6f5,,130
9 - 12 Years,['J. K. Rowling'],,Paperback,BLOOMSBURY,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9781408810545_113524/0x1920/70/0.jpg,,1408810549,9781408810545,English,6281,Harry Potter And The Philosopher'S Stone,224,399,9781408810545_113524,25573761,,2010,BLOOMSBURY,Harry Potter,Bestseller Books,17bf05f13ff325bec5ea9e66a6a5f82f,,167
,['Orhan Pamuk'],,Hardcover,Knopf Doubleday Publishing Group,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9780307700889_44120/0x1920/70/0.jpg,Everyman's Library,307700887,9780307700889,English,6999,Snow,,1651,9780307700889_44120,12582217,,2011,,,Bestseller Books,2cd9ac06a14de21d571c916d94f3fe4e,,500
,['Michael Chabon'],,Paperback,Random House Publishing Group,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9780812983586_44120/0x1920/70/0.jpg,Random House Trade Paperbacks,812983580,97812,English,8095,The Amazing Adventures Of Kavalier & Clay (With Bonus Content),,1283,9780812983586_44120,12135318,,2012,Random House Publishing Group,,Bestseller Books,c6437cbd57464cb311994982afa82d0e,,500
,['Isabel Allende'],,Hardcover,Knopf Doubleday Publishing Group,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9781400043187_44120/0x1920/70/6.jpg,Everyman's Library,1400043182,9781400043187,English,6999,The House Of The Spirits,,1623,9781400043187_44120,12571735,,2005,,,Bestseller Books,bab750cdc9cfc4c88321ec657999db0e,,500
,['Anthony Horowitz'],,Paperback,Orion,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9781409159537_191287/0x1920/70/0.jpg,,1409159531,9781409159537,English,4883,Trigger Mortis: A James Bond Novel,320,599,9781409159537_191287,38787393,,2015,Orion,,Bestseller Books,07554d4e92b2669392e3da4a4aea36e1,,500
,['Arthur Conan Doyle'],,Paperback,Random House,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9780812968545_44120/0x1920/70/0.jpg,Modern Library,812968549,9780812968545,English,4244,A Study In Scarlet,,508,9780812968545_44120,13633418,,2003,Random House,,Bestseller Books,581890bb31f03fcb9d2c1d041880586e,,500
,['William L Andrews'],,Paperback,Penguin,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9780451471444_44120/0x1920/70/0.jpg,Signet,45147144,9780451471444,English,4116,Classic American Autobiographies,496,506,9780451471444_44120,13680995,,2014,Penguin,,Bestseller Books,210f037bfdaf69cd14bddf2f2d6f4d09,,500
,['G K Chesterton'],,Paperback,Random House Publishing Group,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9780812972221_44120/0x1920/70/0.jpg,Modern Library,812972228,9780812972221,English,8095,Father Brown,,787,9780812972221_44120,13644064,,2005,Random House Publishing Group,,Bestseller Books,04a2579804f08fba96cf4a176f742ef7,,500
,['Jules Verne'],,Others,RHUS (RS),,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9780553213973_80186/0x1920/70/0.jpg,Bantam,553213970,9780553213973,English,8684,Journey To The Center Of The Earth,,175,9780553213973_80186,41422487,,2006,RHUS (RS),,Bestseller Books,2f7160471baa4ec58d39e07ec6191e81,,500
,['Charles Dickens'],,Paperback,Modern Library,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9780375757846_44120/0x1920/70/0.jpg,Modern Library,375757848,9780375757846,English,12055,Oliver Twist,,416,9780375757846_44120,13583523,,2001,Modern Library,,Bestseller Books,ec15ad45246c9cace473557f29dff38c,,500
,['J M Barrie'],,Paperback,Random House Publishing Group,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9780812972979_44120/0x1920/70/0.jpg,Modern Library,81297297,9780812972979,English,8095,Peter Pan,,554,9780812972979_44120,12571539,,2004,,,Bestseller Books,0394ac308165682068af54ec8ac5d195,,500
,['Horatio Alger'],,Paperback,Random House Publishing Group,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9780812973587_44120/0x1920/70/0.jpg,Modern Library,812973585,97812,English,8095,Ragged Dick,,611,9780812973587_44120,10041862,,2005,CRC Press,,Bestseller Books,7a280b76f1322ff0820cf3a2c7b1b036,,500
,['William Shakespeare'],,Paperback,,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9780470041567_20037/0x1920/70/3.jpg,,470041560,9780470041567,English,439730,Shakespeare on the Double! Macbeth( Series - SHAKESPEARE ON THE DOUBLE! ) 3rd Edition,178,647,9780470041567_20037,972134,,,Houghton Mifflin Harcourt (HMH),,Bestseller Books,d9fa53e48e3e62a138c901f7e4907556,,
,['Marcel Proust'],,Hardcover,Penguin,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9780143124696_44120/0x1920/70/0.jpg,Penguin Classics,143124692,9780143124696,English,4116,Swann's Way,496,1698,9780143124696_44120,13598126,,2013,Penguin,,Bestseller Books,344127983903a2680ee33f11a045d125,,500
,['Mark Twain'],,Others,RHUS (RS),,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9780553211283_44120/0x1920/70/0.jpg,Bantam Classics,553211285,9780553211283,English,8684,The Adventures Of Tom Sawyer,,347,9780553211283_44120,13584303,,1995,RHUS (RS),,Bestseller Books,6a04b345046695c72fd88b5e42a0a630,,500
,['Edith Wharton'],,Others,Random House,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9780553214505_44120/0x1920/70/0.jpg,Bantam Classics,553214500,9780553214505,English,4244,The Age Of Innocence,,366,9780553214505_44120,10045628,,1996,CRC Press,,Bestseller Books,13773a09c24555b0bd5c4a91e13a8c8b,,500
,['Emile Zola'],,Paperback,Random House Publishing Group,,,,,Literature & Fiction,https://assetscdn.paytm.com/images/catalog/product/9/97/9780812974225_44120/0x1920/70/0.jpg,Modern Library,812974220,97812,English,8095,The Belly Of Paris,,833,9780812974225_44120,13556805,,2009,Random House Publishing Group,,Bestseller Books,3c16de91f24abedab815e0860724db11,,500
